,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158862,17306604,Flat,6500000,Karachi,Sindh,25.051778,67.319934,2,2,2019-07-17,ZPN Real Estate & Builders,Farooq,13884.801,2019,7,2019-07-01
158863,17306630,Flat,5800000,Karachi,Sindh,25.051778,67.319934,2,2,2019-07-17,Mars Associates,Rana Zaheer Ahmed,13340.299,2019,7,2019-07-01
158864,17306633,Flat,7100000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158865,17306644,Flat,7000000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158866,17306649,Flat,6800000,Karachi,Sindh,25.051778,67.319934,2,2,2019-07-17,Mars Associates,Rana Zaheer Ahmed,13340.299,2019,7,2019-07-01
158867,17306652,Flat,11000000,Karachi,Sindh,24.832117,67.063637,3,3,2019-07-17,Investor's Home Real Estate,Saleem Malik,14429.302999999998,2019,7,2019-07-01
158868,17306676,Flat,6800000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158869,17306685,Flat,6900000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158870,17306731,Flat,6700000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158871,17306746,House,14200000,Karachi,Sindh,25.058062,67.306626,3,3,2019-07-17,Mars Associates,Noman Khalid,2178.008,2019,7,2019-07-01
158872,17306760,House,7500000,Karachi,Sindh,25.071948,67.338656,3,3,2019-07-17,Mars Associates,Noman Khalid,2178.008,2019,7,2019-07-01
158873,17306771,Flat,6600000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158874,17306819,House,14500000,Karachi,Sindh,25.009119,67.307179,3,3,2019-07-17,Mars Associates,Noman Khalid,16607.310999999998,2019,7,2019-07-01
158875,17306833,Flat,6500000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
